12:39:51.001 [main] INFO  c.m.i.IoTDeviceServiceApplication - Starting IoTDeviceServiceApplication on macbook-gibeon.ecs.soton.ac.uk with PID 28500 (/Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice/bin/main started by gibeon in /Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice)
12:45:52.217 [http-nio-8092-exec-9] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():11.0
12:45:52.236 [http-nio-8093-exec-9] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.239 [http-nio-8093-exec-9] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():11.0
12:45:52.261 [http-nio-8091-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.262 [http-nio-8091-exec-1] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():9.0
12:45:52.282 [http-nio-8092-exec-10] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.284 [http-nio-8092-exec-10] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():9.0
12:45:52.289 [http-nio-8093-exec-10] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.290 [http-nio-8093-exec-10] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():9.0
12:45:52.303 [http-nio-8091-exec-2] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.304 [http-nio-8091-exec-2] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():3.0
12:45:52.309 [http-nio-8092-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.310 [http-nio-8092-exec-1] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():3.0
12:45:52.337 [http-nio-8093-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.338 [http-nio-8093-exec-1] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():3.0
12:45:52.355 [http-nio-8091-exec-4] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.356 [http-nio-8091-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:52.367 [http-nio-8092-exec-2] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.367 [http-nio-8092-exec-2] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:52.396 [http-nio-8093-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.396 [http-nio-8093-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:52.427 [http-nio-8091-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.431 [http-nio-8091-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():10.0
12:45:52.444 [http-nio-8092-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.446 [http-nio-8092-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():10.0
12:45:52.465 [http-nio-8093-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.466 [http-nio-8093-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():10.0
12:45:52.484 [http-nio-8091-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.485 [http-nio-8091-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():11.0
12:45:52.491 [http-nio-8092-exec-4] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.491 [http-nio-8092-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():11.0
12:45:52.498 [http-nio-8093-exec-4] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.499 [http-nio-8093-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():11.0
12:45:52.511 [http-nio-8091-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.511 [http-nio-8091-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:52.517 [http-nio-8092-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.518 [http-nio-8092-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:52.531 [http-nio-8093-exec-2] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.531 [http-nio-8093-exec-2] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:52.545 [http-nio-8091-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.547 [http-nio-8091-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():4.0
12:45:52.608 [http-nio-8092-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.608 [http-nio-8092-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():4.0
12:45:52.616 [http-nio-8093-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.616 [http-nio-8093-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():4.0
12:45:52.631 [http-nio-8091-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.632 [http-nio-8091-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():7.0
12:45:52.638 [http-nio-8092-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.643 [http-nio-8092-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():7.0
12:45:52.651 [http-nio-8093-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.652 [http-nio-8093-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():7.0
12:45:52.666 [http-nio-8091-exec-9] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.667 [http-nio-8091-exec-9] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():2.0
12:45:52.673 [http-nio-8092-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.674 [http-nio-8092-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():2.0
12:45:52.682 [http-nio-8093-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.682 [http-nio-8093-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():2.0
12:45:52.703 [http-nio-8091-exec-10] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.704 [http-nio-8091-exec-10] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():8.0
12:45:52.709 [http-nio-8092-exec-9] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.710 [http-nio-8092-exec-9] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():8.0
12:45:52.717 [http-nio-8093-exec-9] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.717 [http-nio-8093-exec-9] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():8.0
12:45:52.730 [http-nio-8091-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.731 [http-nio-8091-exec-1] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:52.738 [http-nio-8092-exec-10] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
